company_recycler_installed_capacity_ree_tpa,400,tonnes_pa,web_verified,Desk research June 2026,model/data/company_register.csv (Ionic Technologies),"Ionic Belfast separated-REE-oxide plant target; grounds MFA recycler capacity and the recycling output floor via company_data.recycler_installed_capacity_t"
recycling_output_floor_gbp_m,21.2,GBP_million,proxy,Desk research June 2026,model/src/company_data.py,"Installed plant capacity x commodity price x capacity-score utilisation; floors the I-O recycling final-demand (ramped over ~5 yrs) so circular activity is not below named NI plants"
firm_spatial_employment_weights,NA,index,desk_verified,Desk research June 2026,model/src/spatial_module.py,"District employment shares for Mining/Recycling/Manufacturing blended 50/50 with named-firm headcount-by-location (confidence- and lifecycle-weighted); replace with NISRA BRES by district"
q2_1_drs_collection_uplift_pp,17.5,percentage_points,desk_verified,DEFRA DRS impact assessment / industry reporting,"Container return 70-75% to >90% within 3 yrs (+15-20pp). Calibrates the collection_infrastructure lever effect in the ABM; critical-mineral streams set at the lower end"
q2_1_ree_recycling_share_demand,0.01,fraction,desk_verified,European Parliament STU(2015)518777 / earth.org,"Only ~1% of REE demand met from recycling globally; anchors why critical recycled share stays feedstock-constrained"
q2_1_cost_innovation_grant_gbp_m_yr,5,GBP_million_pa,proxy,Innovate UK CLIMATES GBP15m + Faraday/ReLiB GBP34m,"NI-scale annual R&D fund at lever intensity 1.0; used for relative ROI in q2_1_circularity_interventions.py LEVER_COST"
q2_1_cost_recycling_grant_gbp_m_yr,7,GBP_million_pa,proxy,Vision 2035 DBT GBP50m extraction/processing/recycling (+GBP165m invested),"NI-scale annual recovery-plant capital grant at intensity 1.0; LEVER_COST"
q2_1_cost_collection_infra_gbp_m_yr,9,GBP_million_pa,proxy,DEFRA DRS IA GBP632m set-up / GBP1.065bn-yr running (England+NI drinks),"NI WEEE/critical-stream collection programme at intensity 1.0; LEVER_COST"
q2_1_cost_skills_support_gbp_m_yr,4,GBP_million_pa,proxy,DfE green-skills bootcamps ~GBP3152/learner,"NI circular-minerals skills programme at intensity 1.0; LEVER_COST"
uk_demand_copper_2024_cum_t,178400,tonnes,real,Vision 2035 Critical Minerals Technical Annex (Annex 2),"UK growth-sector copper demand 2024; rises to 922200 (2027), 1953000 (2030), 3619000 (2035) cumulative; annual ~2x by 2035"
uk_demand_lithium_2035_cum_t,339200,tonnes,real,Vision 2035 Technical Annex (Annex 2),"UK growth-sector lithium (LCE) cumulative demand by 2035 (2024: 2525); steepest-growing growth mineral, annual ~+1100%"
uk_demand_cobalt_2035_cum_t,163000,tonnes,real,Vision 2035 Technical Annex (Annex 2),"UK growth-sector cobalt cumulative demand by 2035 (2024: 6089); battery metal"
uk_demand_nickel_2035_cum_t,867200,tonnes,real,Vision 2035 Technical Annex (Annex 2),"UK growth-sector nickel cumulative demand by 2035 (2024: 50430)"
iea_clean_energy_demand_2040,2.0,multiple,real,IEA net zero scenario via GSNI/BGS OR25042 2025,"Cu/Co/REE/Ni demand ~doubles by 2040; lithium ~9-fold (1 row captures the doubling)"
supply_concentration_ree_2023,0.74,fraction,real,BGS/Idoine et al. 2025 via GSNI OR25042,"China 74% of REE mine supply 2023; also Li 44% Australia, Co 70% DRC. Sets MFA imp_conc for single-country exposure"
uk_metals_exported_for_processing,0.80,fraction,real,GSNI/BGS OR25042 2025,"~80% of UK-shredded automotive/electronic metals are exported for processing due to lack of UK midstream investment - the key NI capacity challenge"
ni_recycling_rate_2024_25,0.504,fraction,real,DAERA LAC municipal waste 2024/25,"NI municipal recycling ~50.4% (household 51%), stagnant since 2019; energy-from-waste rising to 34.3% competes for material"
ni_windsor_crma_applicability,NA,flag,real,DBT Explanatory Memorandum April 2025 (Windsor Framework Art 13(4)),"EU CRMA provisions could apply in NI if agreed by UK-EU Joint Committee - potential dual UK+EU market access for NI midstream"
curraghinalt_gold_resource_moz,3.79,million_oz,real,Dalradian 2021 feasibility study,"Curraghinalt M&I 3.79 Moz Au @8.5 g/t (+3.0 Moz inferred); ~15000 t Cu over life plus Sb/Te/Bi/Co; NI's one known polymetallic critical-mineral deposit"
belfast_harbour_cargo_2024_mt,24.1,million_tonnes,real,Belfast Harbour 2025 via GSNI OR25042,"Belfast Harbour throughput 2024; logistics asset and offshore-wind decommissioning hub (turbine-magnet feedstock for Ionic/Plaswire)"
strategic_stockpile_target_days,180,days,real,Japan JOGMEC (60-180d) / Korea KOMIR (100d); IEA 2025,"Real strategic-reserve targets - calibrates the stockpile lever (coupling STOCKPILE_DEPTH=0.5 demand-yr ~180 days); shows the stockpile is a months-to-~2yr bridge, not a durable fix"
offtake_price_floor_ndpr_usd_kg,110,USD_per_kg,real,US DoD-MP Materials 10-yr offtake (CSIS 2025),"$110/kg NdPr 10-year price-floor offtake used to de-risk a magnet-materials plant - evidence that offtake+price floor is the midstream unlock (model lever: secondary_market_support)"
midstream_support_mechanism,NA,policy,real,CSIS/RFF 2025,"State-capital tools (offtake, price floors, equity stakes) de-risk price-volatile midstream where private lenders won't; one-off grants alone don't secure supply - support must be structural/recurring"
foak_cost_share_pilot,0.50,fraction,real,US DOE Critical Minerals and Materials Accelerator 2025,"Public cost-share to cross the pilot->commercial 'valley of death' (20% at prototype, 50% at pilot/demonstration); the decisive barrier to business participation in midstream processing/recycling"
blended_finance_fund_usd_m,500,USD_million,real,US-Australia Critical Minerals Partnership Fund (Third Way 2025),"Blended public-private finance that crowds in private capital for FOAK plants; model for an NI/UK midstream scale-up facility"
crma_processing_permit_months,15,months,real,EU Critical Raw Materials Act (European Commission 2025),"Strategic-project permitting target: 15 mo processing/recycling, 27 mo extraction, plus finance facilitation + offtake matchmaking - a one-stop participation package NI could access via Windsor Framework Art 13(4)"
q2_4_shock_taxonomy,NA,scenario,real,Vision 2035 (DBT),"Shock vector: 'increasingly concentrated processing and mining supply chains' vulnerable to 'natural disasters, war or geopolitical fallout' and 'shortages or disruption' - basis for the Q2.4 dominant-supplier export-ban shock"
q2_4_govt_objectives,NA,policy,real,Vision 2035 (DBT),"Two government objectives: optimise domestic production; build resilient UK & global supply networks (partnerships, diversification). Define the Q2.4 government roles"
q2_4_coordinated_action,NA,policy,real,Vision 2035 (DBT),"'joint action between industry and government ... in a more coordinated way' - grounds the strategic-coordinator role, which the model finds most robust"
q2_4_diversification_lever,0.45,fraction,desk_verified,Japan post-2010 experience (CNBC/WEF 2025),"Diversification cuts effective single-country concentration by up to 45% at full lever (MFA), calibrated to Japan cutting China REE dependence ~90%->~58% (~36%), targeting <50% (~44%)"
q2_4_japan_diversification_effect,0.36,fraction,real,CNBC/WEF/New Security Beat 2024-25,"Japan reduced Chinese REE dependence from ~90% to ~58% after the 2010 export ban via coordinated stockpiling + overseas equity/offtake + recycling + substitution; validates the strategic-coordinator posture"
q2_4_lynas_offtake_deal_usd_m,250,USD_million,real,JOGMEC/Sojitz-Lynas 2011 (CNBC 2025),"Equity + loans for guaranteed REE supply - the diversification-via-offtake mechanism; saved Lynas and diversified Japan's supply"
q2_4_stockpile_buffer_role,NA,policy,real,IEA strategic-stockpiling analysis 2025,"Stockpiles 'provide an important buffer against sudden disruptions while countries develop new diversified sources' (oil SPR precedent) - validates the bridge-not-fix design"
q2_6_benefit_taxonomy,NA,framework,real,Minviro Final Report,"Positive socio-economic impacts: job creation, multiplier effects, taxes & royalties, infrastructure, training/skills investment, employment of nationals/locals, in-country procurement - the Q2.6 benefit suite"
q2_6_multiplier_basis,NA,method,real,Minviro Final Report (Table 2.3),"30-yr dynamic I-O uses NI 2016 + Scotland 2016 Type I/II multipliers; £5m final-demand example (Table 2.2); model proxy A-matrix tuned to these anchors"
q2_6_retained_employment_caveat,NA,caveat,real,Minviro Final Report (sec 2.2.5),"Benefits can be 'economically detached from the regions'; Galmoy & Lisheen (closed Irish mines) used national/international specialist firms, limiting local employment - retained share depends on local-content + skills (Q2.5)"
q2_6_tax_rate_on_gva,0.25,fraction,proxy,HMRC/HMT composite (income tax+NICs+corp tax),"Effective public take on GVA for the Q2.6 tax proxy; conservative - excludes mineral royalties (gold/silver Crown-vested in NI)"
q2_6_skilled_labour_limitation,NA,caveat,real,Minviro Final Report,"All mining scenarios 'rely on access to a pool of skilled labour'; skills shortage caps realised employment benefit - the skills pipeline (Q2.5) is the gating constraint"
q2_7_impact_groups,NA,framework,real,Minviro Appendix A,"Impact groups: land transformation (take/habitat/landscape), water availability & quality, air quality & noise, GHG, biodiversity, mine closure, tailings/waste rock; receptors are people + biodiversity; impacts site-specific"
q2_7_minimisation_hierarchy,NA,framework,real,Minviro Appendix A,"avoid (recycle/design-for-disassembly) > mitigate (high-ESG: water stewardship, progressive rehab, biodiversity net gain, dust/noise controls) > manage closure (bonded) - the impact-reduction order"
q2_7_recycling_co2_vs_primary,0.30,fraction,desk_verified,Minviro CLCA / ree_pilot,"Secondary/magnet recycling carbon footprint ~30% of primary mine+refine; recycling also avoids the land/water/biodiversity/tailings burden almost entirely (impact_module)"
q2_7_esg_max_mitigation,0.35,fraction,proxy,Minviro Appendix A (mitigation hierarchy),"High-ESG/low-impact design cuts a primary mine's local pressures (water/land/biodiversity/waste/PM) by up to 35% in the model (impact_module.esg_mitigation)"
q2_7_pressure_indices,NA,index,proxy,impact_module.py,"Water/land/biodiversity/tailings relative pressure per £m activity (mining-referenced, dimensionless PROXY); replace with site EIA + ecoinvent/EXIOBASE characterisation factors"
